Posição;Artista;Música
157;Sonic Youth;'Teenage Riot'
158;The Meters;'Cissy Strut'
159;The Who;'Baba O'Riley'
160;R.E.M.;'Nightswimming'
161;Madonna;'Into the Groove'
162;Nick Drake;'Pink Moon'
163;Fleetwood Mac;'Landslide'
164;Bob Dylan;'Mr. Tambourine Man'
165;Hank Williams;'I’m So Lonesome I Could Cry'
166;Mott the Hoople;'All the Young Dudes'
167;Eminem;'Lose Yourself'
168;Dusty Springfield;'Son of a Preacher Man'
169;Tom Petty and the Heartbreakers;'American Girl'
170;The Five Satins;'In the Still of the Night'
171;Louis Armstrong;'What a Wonderful World'
172;Nina Simone;'Mississippi Goddam'
173;Television;'Marquee Moon'
174;R.E.M.;'Radio Free Europe'
175;The Flamingos;'I Only Have Eyes for You'
176;The Kinks;'You Really Got Me'
177;Van Halen;'Jump'
178;Billie Eilish;'Bad Guy'
179;Pink Floyd;'Comfortably Numb'
180;Lou Reed;'Walk on the Wild Side'
181;The Byrds;'Eight Miles High'
182;Simon and Garfunkel;'The Sounds of Silence'
183;Stevie Wonder;'You Are the Sunshine of My Life'
184;Sinéad O’Connor;'Nothing Compares 2 U'
185;Michael Jackson;'Beat It'
186;The Staple Singers;'I'll Take You There'
187;Bob Dylan;'Subterranean Homesick Blues'
188;The Jimi Hendrix Experience;'Little Wing'
189;David Bowie;'Space Oddity'
190;N.W.A;'Fuck tha Police'
191;Bobbie Gentry;'Ode to Billie Joe'
192;Geto Boys;'Mind Playing Tricks on Me'
193;The Rolling Stones;'Wild Horses'
194;PJ Harvey;'Rid of Me'
195;Patsy Cline;'Crazy'
196;James Brown;'Get Up (I Feel Like Being A) Sex Machine'
197;Ann Peebles;'I Can't Stand the Rain'
198;Marvin Gaye;'Sexual Healing'
199;Aerosmith;'Dream On'
200;David Bowie;'Changes'
201;Johnny Cash;'Ring of Fire'
202;Elton John;'Your Song'
203;Stevie Wonder;'Signed, Sealed, Delivered I'm Yours'
204;David Bowie;'Young Americans'
205;Britney Spears;'...Baby One More Time'
206;Glen Campbell;'Wichita Lineman'
207;Rage Against the Machine;'Killing in the Name'
208;Hole;'Doll Parts'
209;Don Henley;'Boys of Summer'
210;Funkadelic;'One Nation Under a Groove'
211;U2;'With or Without You'
212;Boston;'More Than a Feeling'
213;The Rolling Stones;'Paint It, Black'
214;Steely Dan;'Deacon Blues'
215;Mobb Deep;'Shook Ones, Pt. II'
216;Elvis Presley;'Jailhouse Rock'
217;Stevie Nicks;'Edge of Seventeen'
218;Wilson Pickett;'In the Midnight Hour'
219;Tom Petty;'Free Fallin''
220;New Order;'Bizarre Love Triangle'
221;Ike and Tina Turner;'River Deep, Mountain High'
222;Crosby, Stills, and Nash;'Suite: Judy Blue Eyes'
223;Eminem feat. Dido;'Stan'
224;Derek and the Dominos;'Layla'
225;Joni Mitchell;'Both Sides Now'
226;The Smiths;'There Is a Light That Never Goes Out'
227;Creedence Clearwater Revival;'Fortunate Son'
228;Beyoncé;'Single Ladies (Put a Ring On It)'
229;Woody Guthrie;'This Land Is Your Land'
230;The Byrds;'Mr. Tambourine Man'
231;Whitney Houston;'I Wanna Dance With Somebody (Who Loves Me)'
232;The Who;'My Generation'
233;Deee-Lite;'Groove Is in the Heart'
234;The Supremes;'You Keep Me Hangin’ On'
235;New Order;'Blue Monday'
236;Bill Withers;'Lean on Me'
237;Hank Williams;'Your Cheatin' Heart'
238;Aaliyah;'Are You That Somebody?'
239;Big Star;'September Gurls'
240;Backstreet Boys;'I Want It That Way'
241;Digital Underground;'The Humpty Dance'
242;Jerry Lee Lewis;'Great Balls of Fire'
243;The Beatles;'Eleanor Rigby'
244;Pavement;'Summer Babe (Winter Version)'
245;Beastie Boys;'Sabotage'
246;Faces;'Ooh La La'
247;Joni Mitchell;'River'
248;N.W.A;'Straight Outta Compton'
249;Joan Jett;'Bad Reputation'
250;The Jimi Hendrix Experience;'Purple Haze'
251;Gloria Gaynor;'I Will Survive'
252;Parliament;'Flash Light'
253;Willie Nelson;'Blue Eyes Crying in the Rain'
254;The Supremes;'Stop! In the Name of Love'
255;Loretta Lynn;'Coal Miner’s Daughter'
256;Metallica;'Master of Puppets'
257;Martha Reeves and the Vandellas;'Heat Wave'
258;Gil-Scott Heron;'The Revolution Will Not Be Televised'
259;Neil Young;'Heart of Gold'
260;The Wailers;'Get Up, Stand Up'
261;Curtis Mayfield;'Pusherman'
262;Paul Simon;'American Tune'
263;Dolly Parton;'Coat of Many Colors'
264;Marvin Gaye;'Let's Get It On'
265;The Replacements;'Left of the Dial'
266;Augustus Pablo;'King Tubby Meets the Rockers Uptown'
267;Drake feat. Rihanna;'Take Care'
268;The Isley Brothers;'Shout (Parts 1 and 2)'
269;The Righteous Brothers;'Unchained Melody'
270;Nine Inch Nails;'Closer'
271;Procol Harum;'A Whiter Shade of Pale'
272;Thin Lizzy;'The Boys Are Back in Town'
273;Roberta Flack;'Killing Me Softly With His Song'
274;Al Green;'Love and Happiness'
275;Randy Newman;'Sail Away'
276;Buzzcocks;'Ever Fallen in Love (With Someone You Shouldn't've)'
277;Bo Diddley;'Bo Diddley'
278;Toots and the Maytals;'Pressure Drop'
